class,native
air pressure,air pressure
air temperature,air temperature 4m above ground level
air temperature,air temperature 1m above ground level
air temperature,9am temperature
air temperature,minimum temperature
air temperature,3pm temperature
air temperature,air temperature 2m above ground level
air temperature,temperature inside aws electronics box
air temperature,temperature
air temperature,air temperature
barometric pressure,barometric pressure
cloud amount,3pm cloud amount
cloud amount,9am cloud amount
dew point temperature,dew point
evaporation,evaporation
global radiation,daily cumulative global radiation downward shortwave since local midnight
hours of sunlight,sunshine
maximum temperature,maximum temperature
maximum wind gust,maximum wind gust in ten minute period prior to observation time at 4m
maximum wind gust,speed of maximum wind gust
maximum wind gust,maximum wind gust in ten minute period prior to observation time at 2m
maximum wind gust,maximum wind gust in one hour period prior to observation time at 2m
maximum wind gust,time of maximum wind gust
maximum wind gust,direction of maximum wind gust
maximum wind gust,maximum wind gust in one hour period prior to observation time at 4m
msl pressure,9am msl pressure
msl pressure,3pm msl pressure
par,par
rain accumulation,rain accumulation
rain duration,rain duration
rain intensity,rain intensity
rainfall,rainfall
relative humidity,humidity
relative humidity,relative humidity
relative humidity,9am relative humidity
relative humidity,relative humidity 4m above ground level
relative humidity,3pm relative humidity
snow accumulation,nett snow accumulation since station installation
subsurface temperature,subsurface temperature 3m below ground level
subsurface temperature,subsurface temperature 7m below ground level
subsurface temperature,subsurface temperature 10cm below ground level
subsurface temperature,subsurface temperature 10m below ground level
subsurface temperature,subsurface temperature 1m below ground level
tsr,tsr
wind direction,one hour mean wind direction 4m above ground level
wind direction,wind direction vector standard 30 minutes
wind direction,wind direction
wind direction,wind direction vector average 10 minutes
wind direction,wind direction scalar standard 30 minutes
wind direction,9am wind direction
wind direction,wind direction vector standard 10 minutes
wind direction,hourly vector average wind direction 4m above ground level
wind direction,wind direction scalar average 10 minutes
wind direction,wind direction scalar average 30 minutes
wind direction,3pm wind direction
wind direction,wind direction scalar standard 10 minutes
wind direction,wind direction vector average 30 minutes
wind speed,minimum wind speed 10 minutes
wind speed,one hour mean wind speed 4m above ground level
wind speed,wind speed scalar avg 10 min
wind speed,3pm wind speed
wind speed,minimum wind speed 30 minutes
wind speed,hourly vector average wind speed 4m above ground level
wind speed,one hour mean wind speed 2m above ground level
wind speed,hourly vector average wind speed
wind speed,wind speed scalar avg 30 min
wind speed,maximum wind speed 10 minutes
wind speed,maximum wind speed 30 minutes
wind speed,one hour wind speed peak 4m above ground level
wind speed,one hour mean wind speed 1m above ground level
wind speed,9am wind speed
wind speed,wind speed
wind velocity,wind vector e / w
wind velocity,wind vector n / s
